trackid,numtrajpoints,lastupdatetime
17563002,0,2018-01-12 17:56:30.169461
17563001,0,2018-01-12 17:56:30.169461
17563000,0,2018-01-12 17:56:30.169461
17563010,0,2018-01-12 17:56:30.646936
17563009,0,2018-01-12 17:56:30.646936
17563008,0,2018-01-12 17:56:30.646936
17563007,0,2018-01-12 17:56:30.646936
17563101,0,2018-01-12 17:56:31.350485
17563100,0,2018-01-12 17:56:31.350485
17563200,0,2018-01-12 17:56:32.565034
17563201,0,2018-01-12 17:56:32.731346
17563301,0,2018-01-12 17:56:33.60568
17563300,1,2018-01-12 17:56:35.724928
17572302,0,2018-01-12 17:57:23.363058
17572303,0,2018-01-12 17:57:23.462171
17572307,0,2018-01-12 17:57:24.036463
17572306,0,2018-01-12 17:57:24.036463
17572305,0,2018-01-12 17:57:24.036463
17572304,0,2018-01-12 17:57:24.036463
17572400,0,2018-01-12 17:57:24.287764
17565800,19,2018-01-12 17:57:01.092571
17572401,0,2018-01-12 17:57:24.361177
17572402,0,2018-01-12 17:57:24.465385
17572404,0,2018-01-12 17:57:24.584497
17572403,0,2018-01-12 17:57:24.584497
17572405,0,2018-01-12 17:57:24.850195
17572500,0,2018-01-12 17:57:25.329318
17572501,0,2018-01-12 17:57:25.402537
17572504,0,2018-01-12 17:57:25.614828
17572503,0,2018-01-12 17:57:25.614828
17572502,0,2018-01-12 17:57:25.614828
17572600,0,2018-01-12 17:57:26.137628
17572507,0,2018-01-12 17:57:26.137628
17572506,0,2018-01-12 17:57:26.137628
17572505,0,2018-01-12 17:57:26.137628
17572601,0,2018-01-12 17:57:26.275602
17572602,0,2018-01-12 17:57:26.700256
17572603,0,2018-01-12 17:57:27.186
17572701,0,2018-01-12 17:57:27.569621
17572700,0,2018-01-12 17:57:27.569621
17572702,0,2018-01-12 17:57:27.810536
17572703,0,2018-01-12 17:57:27.872579
17572704,0,2018-01-12 17:57:28.028901
17572901,0,2018-01-12 17:57:29.90303
17572900,0,2018-01-12 17:57:29.90303
17572902,0,2018-01-12 17:57:29.971868
17562902,9,2018-01-12 17:56:36.463864
17572903,0,2018-01-12 17:57:30.096649
17573000,0,2018-01-12 17:57:30.52957
17573001,0,2018-01-12 17:57:31.040484
17573100,0,2018-01-12 17:57:31.149507
17573101,0,2018-01-12 17:57:31.241571
17573102,0,2018-01-12 17:57:31.450036
17573200,0,2018-01-12 17:57:32.146708
17573201,0,2018-01-12 17:57:32.631126
17573300,0,2018-01-12 17:57:33.133262
17570200,4,2018-01-12 17:57:03.106549
17570100,13,2018-01-12 17:57:03.106549
17573400,0,2018-01-12 17:57:34.421364
17570201,0,2018-01-12 17:57:03.19535
17570300,0,2018-01-12 17:57:03.504537
17563600,3,2018-01-12 17:56:37.002262
17563004,14,2018-01-12 17:56:37.002262
17562906,14,2018-01-12 17:56:37.002262
17562802,14,2018-01-12 17:56:37.002262
17563601,0,2018-01-12 17:56:37.131086
17563700,0,2018-01-12 17:56:37.375162
17563701,0,2018-01-12 17:56:37.820262
17563900,0,2018-01-12 17:56:39.25154
17563902,0,2018-01-12 17:56:39.582871
17563901,0,2018-01-12 17:56:39.582871
17563903,0,2018-01-12 17:56:39.9804
17564000,0,2018-01-12 17:56:40.317273
17564002,0,2018-01-12 17:56:41.009376
17564001,0,2018-01-12 17:56:41.009376
17564100,0,2018-01-12 17:56:41.744155
17564200,0,2018-01-12 17:56:42.192624
17564201,0,2018-01-12 17:56:42.357233
17564202,0,2018-01-12 17:56:42.983937
17564203,0,2018-01-12 17:56:43.112217
17564301,0,2018-01-12 17:56:44.038432
17564300,0,2018-01-12 17:56:44.038432
17564600,0,2018-01-12 17:56:46.891841
17564601,0,2018-01-12 17:56:47.119351
17565200,0,2018-01-12 17:56:53.106343
